Time,Open,High,Low,Close,Volume
2001-01-02,0.9507,0.9509,0.9505,0.9506,176
2001-01-03,0.9506,0.9569,0.9262,0.9283,5616
2001-01-04,0.9283,0.9536,0.9283,0.9532,5676
2001-01-05,0.9532,0.9591,0.9464,0.9575,4960
2001-01-07,0.9583,0.9585,0.9576,0.9584,216
2001-01-08,0.9584,0.9588,0.9459,0.9464,5652
2001-01-09,0.9464,0.9477,0.9384,0.9434,5560
2001-01-10,0.9434,0.9464,0.9361,0.9366,5580
2001-01-11,0.9366,0.9549,0.9366,0.951,5452
2001-01-12,0.951,0.9575,0.9468,0.9508,4936
2001-01-14,0.9521,0.9521,0.9502,0.9502,224
2001-01-15,0.9499,0.9507,0.9408,0.9419,5528
2001-01-16,0.9418,0.9431,0.9371,0.9419,5756
2001-01-17,0.9421,0.9442,0.9288,0.9361,5760
2001-01-18,0.9362,0.946,0.9359,0.9427,5760
2001-01-19,0.9427,0.9499,0.9337,0.9346,5032
2001-01-21,0.9345,0.9352,0.934,0.9349,224
2001-01-22,0.9349,0.9401,0.9269,0.9387,5628
2001-01-23,0.9387,0.9447,0.9343,0.9353,5580
2001-01-24,0.9355,0.9369,0.9209,0.9233,5512
2001-01-25,0.9233,0.9253,0.9114,0.9245,5636
2001-01-26,0.9245,0.9314,0.9198,0.9243,4596
2001-01-28,0.9236,0.9237,0.9234,0.9236,184
2001-01-29,0.9237,0.9258,0.9159,0.9179,5644
2001-01-30,0.9179,0.9276,0.9143,0.9263,5576
2001-01-31,0.9263,0.9374,0.9253,0.937,5700
2001-02-01,0.937,0.9442,0.9362,0.9372,5644
2001-02-02,0.9374,0.9417,0.9318,0.9357,4880
2001-02-04,0.9351,0.9363,0.9351,0.9362,236
2001-02-05,0.9362,0.9438,0.9362,0.9374,5608
2001-02-06,0.9374,0.9383,0.9283,0.9308,5616
2001-02-07,0.9308,0.9347,0.9257,0.9285,5640
2001-02-08,0.9286,0.9298,0.9149,0.9186,5648
2001-02-09,0.9186,0.927,0.9131,0.9253,4824
2001-02-11,0.9254,0.9254,0.9247,0.9247,200
2001-02-12,0.9247,0.9327,0.9247,0.9319,5440
2001-02-13,0.9319,0.9326,0.917,0.9197,5584
2001-02-14,0.9198,0.9216,0.9164,0.918,5448
2001-02-15,0.918,0.9193,0.9024,0.9052,5088
2001-02-16,0.9052,0.9172,0.9051,0.9146,4824
2001-02-18,0.9126,0.913,0.9121,0.9121,164
2001-02-19,0.9121,0.9233,0.912,0.921,5280
2001-02-20,0.921,0.9236,0.9049,0.9093,5452
2001-02-21,0.9093,0.918,0.9056,0.9097,5576
2001-02-22,0.9097,0.9128,0.9014,0.905,5480
2001-02-23,0.9049,0.9204,0.9025,0.9169,4960
2001-02-25,0.9173,0.9174,0.9168,0.9172,156
2001-02-26,0.9172,0.9183,0.9078,0.9083,5680
2001-02-27,0.9083,0.9203,0.9083,0.9177,5584
2001-02-28,0.9177,0.9253,0.916,0.9226,5484
2001-03-01,0.9233,0.9318,0.9225,0.9305,5556
2001-03-02,0.9305,0.9377,0.9288,0.9348,4920
2001-03-04,0.9361,0.9364,0.9349,0.935,232
2001-03-05,0.935,0.9352,0.9263,0.9268,5388
2001-03-06,0.9269,0.9345,0.925,0.9331,5356
2001-03-07,0.9331,0.9368,0.9262,0.9288,5480
2001-03-08,0.9287,0.9337,0.9271,0.9327,5472
2001-03-09,0.9327,0.937,0.9292,0.9322,4796
2001-03-11,0.9316,0.932,0.9313,0.9319,216
2001-03-12,0.9319,0.9339,0.9258,0.929,5604
2001-03-13,0.929,0.9298,0.9128,0.9138,5556
2001-03-14,0.9138,0.9207,0.9077,0.9107,5624
2001-03-15,0.9107,0.9124,0.8953,0.8984,5688
2001-03-16,0.8984,0.8999,0.8913,0.8958,4980
2001-03-18,0.8967,0.8973,0.8967,0.8967,192
2001-03-19,0.8967,0.9017,0.8933,0.8987,5604
2001-03-20,0.8988,0.912,0.8986,0.9114,5556
2001-03-21,0.9114,0.912,0.8932,0.8954,5540
2001-03-22,0.8954,0.8963,0.8832,0.8874,5584
2001-03-23,0.8873,0.8964,0.8852,0.8894,4900
2001-03-25,0.8908,0.8908,0.8887,0.8887,368
2001-03-26,0.8887,0.8976,0.8885,0.8972,5484
2001-03-27,0.8972,0.8989,0.8896,0.8933,5620
2001-03-28,0.8933,0.8944,0.8844,0.8861,5612
2001-03-29,0.8861,0.8882,0.8796,0.8823,5600
2001-03-30,0.8823,0.8873,0.8748,0.877,4760
2001-04-01,0.8742,0.8755,0.8735,0.8752,448
2001-04-02,0.8752,0.8832,0.8743,0.8812,5520
2001-04-03,0.8811,0.8983,0.8808,0.8974,5644
2001-04-04,0.8974,0.9047,0.8933,0.9018,5620
2001-04-05,0.9017,0.9086,0.8942,0.896,5672
2001-04-06,0.896,0.9046,0.8924,0.9031,4684
2001-04-08,0.9033,0.9041,0.9029,0.9031,380
2001-04-09,0.9031,0.9045,0.8945,0.8949,5600
2001-04-10,0.8949,0.899,0.8865,0.8892,5624
2001-04-11,0.8892,0.8913,0.8809,0.8879,5656
2001-04-12,0.8879,0.894,0.8835,0.8924,5504
2001-04-13,0.8923,0.8933,0.8878,0.8881,4196
2001-04-15,0.8886,0.8896,0.8884,0.8889,288
2001-04-16,0.889,0.89,0.8837,0.8884,4052
2001-04-17,0.8884,0.8907,0.8775,0.8824,5636
2001-04-18,0.8824,0.8893,0.8698,0.8834,5696
2001-04-19,0.8834,0.8985,0.8805,0.8972,5740
2001-04-20,0.8972,0.9045,0.8952,0.9026,4724
2001-04-22,0.9012,0.9033,0.9012,0.9033,448
2001-04-23,0.9033,0.9077,0.8945,0.8972,5704
2001-04-24,0.8972,0.9016,0.893,0.8936,5676
2001-04-25,0.8935,0.8998,0.8906,0.8972,5684
2001-04-26,0.8972,0.904,0.8945,0.9024,5676
2001-04-27,0.9024,0.9051,0.8886,0.8908,4704
2001-04-29,0.8913,0.8914,0.8906,0.8907,416
2001-04-30,0.8907,0.8922,0.885,0.8891,5552
2001-05-01,0.8891,0.8938,0.8856,0.8927,5296
2001-05-02,0.8928,0.8974,0.8884,0.8957,5504
2001-05-03,0.8957,0.8972,0.8879,0.8907,5508
2001-05-04,0.8907,0.9004,0.8897,0.8936,4676
2001-05-06,0.8924,0.8932,0.8922,0.893,464
2001-05-07,0.893,0.8931,0.8897,0.8908,5448
2001-05-08,0.8908,0.8909,0.8822,0.8842,5624
2001-05-09,0.8842,0.8866,0.881,0.8862,5616
2001-05-10,0.8862,0.8918,0.878,0.8815,5608
2001-05-11,0.8815,0.882,0.8737,0.8763,4740
2001-05-13,0.8754,0.8756,0.8747,0.8751,408
2001-05-14,0.8751,0.8757,0.8725,0.8739,5516
2001-05-15,0.874,0.8804,0.8732,0.8803,5548
2001-05-16,0.8803,0.8865,0.8747,0.8834,5636
2001-05-17,0.8834,0.8877,0.8792,0.8822,5480
2001-05-18,0.8823,0.8827,0.8754,0.8798,4636
2001-05-20,0.8797,0.8803,0.8794,0.8798,332
2001-05-21,0.8798,0.8815,0.8739,0.8759,5632
2001-05-22,0.8759,0.8772,0.8625,0.8649,5688
2001-05-23,0.8649,0.8659,0.8547,0.8549,5692
2001-05-24,0.8549,0.861,0.8494,0.8576,5636
2001-05-25,0.8576,0.8625,0.8536,0.8601,4656
2001-05-27,0.86,0.86,0.8586,0.8594,296
2001-05-28,0.8594,0.8605,0.8578,0.8603,4856
2001-05-29,0.8604,0.861,0.8529,0.854,5644
2001-05-30,0.854,0.8588,0.8534,0.8556,5640
2001-05-31,0.8557,0.8563,0.8441,0.8456,5564
2001-06-01,0.8456,0.8494,0.8433,0.8478,4712
2001-06-03,0.8465,0.847,0.846,0.8461,424
2001-06-04,0.846,0.8535,0.844,0.8454,5508
2001-06-05,0.8454,0.8544,0.8424,0.8531,5608
2001-06-06,0.853,0.8565,0.8444,0.8461,5632
2001-06-07,0.8461,0.8517,0.8455,0.8504,5592
