Time,Open,High,Low,Close,Volume
2001-01-02,268.8,268.9,268.6,268.6,28
2001-01-03,268.9,269.7,266.5,267.8,1836
2001-01-04,267.9,268.8,266.8,268.0,1876
2001-01-05,268.0,268.4,266.7,267.8,1752
2001-01-08,268.1,269.4,267.7,268.3,1700
2001-01-09,268.1,268.3,266.8,267.3,1756
2001-01-10,267.3,267.3,264.5,264.5,1980
2001-01-11,264.5,265.7,263.3,264.2,1716
2001-01-12,264.2,264.9,263.3,264.0,1396
2001-01-14,264.1,264.1,264.1,264.1,56
2001-01-15,264.1,268.3,263.1,263.4,1104
2001-01-16,263.4,265.3,262.9,263.5,2564
2001-01-17,263.5,263.8,262.6,263.6,2364
2001-01-18,263.6,265.1,263.2,264.8,2212
2001-01-19,264.8,266.4,264.3,264.6,1552
2001-01-21,264.5,264.5,264.4,264.5,72
2001-01-22,264.5,268.2,264.4,267.2,2032
2001-01-23,267.2,268.8,265.3,266.4,1892
2001-01-24,266.4,267.1,263.8,264.8,1740
2001-01-25,264.3,265.1,263.0,264.7,1580
2001-01-26,264.7,265.2,262.0,262.9,1504
2001-01-29,263.3,263.6,255.2,263.1,1568
2001-01-30,263.0,266.2,262.8,265.7,1660
2001-01-31,265.7,266.4,264.1,265.7,1780
2001-02-01,265.8,269.0,265.8,268.0,2136
2001-02-02,268.1,268.2,266.5,267.2,1728
2001-02-04,267.2,267.2,267.2,267.2,32
2001-02-05,267.2,267.2,265.1,265.3,1516
2001-02-06,265.3,265.8,262.1,263.5,1380
2001-02-07,263.5,264.1,262.4,263.1,1440
2001-02-08,263.1,263.7,260.4,260.6,1732
2001-02-09,260.6,261.4,259.1,260.4,1920
2001-02-11,260.3,260.3,260.3,260.3,8
2001-02-12,260.3,261.9,260.3,261.4,1268
2001-02-13,261.4,261.6,238.1,260.6,1352
2001-02-14,260.6,261.0,259.5,259.6,1424
2001-02-15,259.6,260.0,255.1,255.8,2164
2001-02-16,255.8,258.9,253.9,258.5,1664
2001-02-19,258.8,259.8,258.5,259.4,912
2001-02-20,259.3,259.4,256.0,256.3,1648
2001-02-21,256.3,259.1,256.0,258.5,1656
2001-02-22,258.5,260.7,257.5,258.6,1796
2001-02-23,258.6,261.8,258.4,261.3,2072
2001-02-26,261.7,266.8,261.7,266.5,2168
2001-02-27,266.5,269.3,266.3,267.1,2888
2001-02-28,267.1,267.6,264.6,267.0,2244
2001-03-01,267.0,267.8,264.7,265.8,1848
2001-03-02,265.8,265.8,262.2,262.7,1620
2001-03-04,262.5,262.5,262.5,262.5,8
2001-03-05,262.5,263.1,261.7,262.9,1392
2001-03-06,262.9,263.0,259.9,260.3,1512
2001-03-07,260.4,262.6,260.0,262.0,2064
2001-03-08,262.0,267.9,262.0,267.8,2240
2001-03-09,267.8,272.0,266.4,271.9,2112
2001-03-11,272.0,272.0,271.9,271.9,36
2001-03-12,271.9,274.5,269.5,272.4,3260
2001-03-13,272.4,272.4,267.4,267.7,2388
2001-03-14,267.7,268.9,262.6,262.7,2704
2001-03-15,262.7,263.4,259.8,260.7,2268
2001-03-16,260.8,261.5,258.4,258.8,2260
2001-03-18,259.1,259.1,259.0,259.0,12
2001-03-19,259.0,261.6,258.6,260.8,2336
2001-03-20,260.9,262.8,260.6,261.6,2312
2001-03-21,261.6,263.1,260.8,262.6,1940
2001-03-22,262.5,262.9,261.0,261.8,1400
2001-03-23,261.8,263.7,261.6,262.1,1388
2001-03-25,262.1,262.1,262.1,262.1,24
2001-03-26,262.0,262.8,260.9,262.4,1488
2001-03-27,262.4,262.8,260.4,261.0,2084
2001-03-28,261.1,261.5,259.4,259.9,1764
2001-03-29,259.9,260.6,258.5,259.0,1680
2001-03-30,259.0,259.7,257.2,257.7,1956
2001-04-01,257.9,257.9,257.8,257.8,44
2001-04-02,257.7,258.1,254.6,255.4,2084
2001-04-03,255.3,258.1,255.2,257.6,2092
2001-04-04,257.5,260.5,257.3,258.3,2120
2001-04-05,258.6,258.9,257.5,258.3,1764
2001-04-06,258.3,260.0,257.6,259.6,1620
2001-04-08,259.8,259.8,259.6,259.6,32
2001-04-09,259.7,260.9,257.8,257.8,2064
2001-04-10,257.8,258.9,256.3,257.2,2212
2001-04-11,257.3,259.4,256.7,258.5,2216
2001-04-12,258.5,260.5,258.3,259.9,1700
2001-04-13,259.9,259.9,259.0,259.0,316
2001-04-15,259.9,259.9,259.1,259.7,20
2001-04-16,259.9,263.8,259.5,263.1,1336
2001-04-17,263.1,264.0,260.0,260.7,2048
2001-04-18,260.7,261.9,258.3,260.9,1916
2001-04-19,260.9,265.2,260.9,264.7,2100
2001-04-20,264.7,265.3,263.3,264.3,1880
2001-04-22,263.9,264.0,263.9,264.0,48
2001-04-23,264.0,264.8,262.2,263.4,1848
2001-04-24,263.4,264.7,262.8,263.9,2060
2001-04-25,263.9,264.3,261.6,262.4,1736
2001-04-26,262.4,264.3,261.8,264.1,1904
2001-04-27,264.1,266.7,263.6,263.8,1476
2001-04-29,263.8,263.8,263.8,263.8,24
2001-04-30,263.8,263.8,262.9,263.8,1196
2001-05-01,263.8,264.4,263.5,264.2,1368
2001-05-02,264.1,265.4,263.7,265.1,1752
2001-05-03,265.1,267.0,264.8,265.5,1676
2001-05-04,265.5,267.2,265.3,266.0,1784
2001-05-06,265.9,265.9,265.8,265.9,64
2001-05-07,265.9,266.4,265.1,265.8,1316
2001-05-08,265.8,265.9,264.5,265.1,1988
2001-05-09,265.1,270.2,264.6,269.4,2248
2001-05-10,269.5,270.4,268.0,268.9,2428
2001-05-11,268.9,269.4,267.8,267.8,2020
2001-05-14,267.8,268.5,267.3,268.0,1740
2001-05-15,268.0,268.2,266.3,268.2,2376
2001-05-16,268.2,272.2,268.0,272.0,2496
2001-05-17,272.0,274.4,271.5,273.3,2640
2001-05-18,273.3,286.7,271.9,286.6,2052
2001-05-20,286.0,286.0,284.8,285.7,136
2001-05-21,286.2,297.4,282.8,284.9,3380
2001-05-22,284.8,285.2,281.5,284.4,2404
2001-05-23,284.4,284.4,281.6,283.3,2520
2001-05-24,283.2,286.8,276.5,278.8,2408
2001-05-25,278.8,280.8,274.9,277.1,2116
2001-05-27,277.1,277.2,277.1,277.2,28
2001-05-28,277.2,277.8,276.1,277.1,800
2001-05-29,277.1,277.9,272.8,273.4,2284
2001-05-30,273.5,274.6,264.9,266.4,2672
2001-05-31,266.4,267.7,265.1,265.4,2396
2001-06-01,265.4,267.1,264.7,266.5,2268
2001-06-03,266.3,266.3,266.3,266.3,8
2001-06-04,266.3,267.3,265.0,265.3,2040
2001-06-05,265.3,266.2,264.7,265.8,1988
2001-06-06,265.8,267.0,265.0,265.8,1900
2001-06-07,266.0,266.2,265.3,265.9,1596
2001-06-08,265.9,273.6,265.9,273.3,1724
2001-06-10,273.3,273.3,272.8,272.8,28
2001-06-11,272.8,272.8,266.4,267.5,2352
2001-06-12,267.5,272.0,266.7,271.1,2364
2001-06-13,271.0,273.0,269.3,271.9,2464
2001-06-14,271.9,276.2,270.5,275.0,2608
2001-06-15,274.9,275.8,270.3,271.2,2212
2001-06-17,270.8,270.8,270.8,270.8,32
2001-06-18,270.8,273.6,270.6,271.8,2000
2001-06-19,271.8,274.4,271.5,273.1,1992
2001-06-20,273.1,273.6,270.8,272.2,2088
2001-06-21,272.2,273.3,271.0,272.2,2044
2001-06-22,272.2,275.0,271.6,272.0,1692
2001-06-24,272.0,272.0,272.0,272.0,8
2001-06-25,272.1,274.6,272.1,273.5,2024
2001-06-26,273.5,278.4,271.7,275.7,2284
2001-06-27,275.7,277.0,271.4,272.0,2400
2001-06-28,272.0,272.0,267.5,269.0,2612
2001-06-29,269.0,271.6,269.0,270.4,1868
2001-07-01,270.4,270.4,270.1,270.3,84
2001-07-02,270.3,270.4,267.6,269.0,2292
2001-07-03,269.0,272.0,267.3,267.4,1784
2001-07-04,267.4,268.1,267.3,267.5,848
2001-07-05,267.5,267.5,264.5,264.9,1932
2001-07-06,264.9,266.7,264.2,265.7,2072
2001-07-08,266.0,266.0,266.0,266.0,36
2001-07-09,266.0,266.7,265.1,266.1,1468
2001-07-10,266.1,267.3,265.8,265.9,1576
2001-07-11,266.0,269.2,265.6,267.7,2004
2001-07-12,267.6,268.1,265.4,266.4,1512
2001-07-13,266.3,267.1,265.8,266.8,1472
2001-07-15,266.7,266.7,266.7,266.7,48
2001-07-16,266.7,268.6,266.3,266.7,1844
2001-07-17,266.7,268.0,266.4,267.9,1692
2001-07-18,267.9,270.7,266.8,270.1,1352
2001-07-19,270.1,271.3,267.5,269.0,1988
2001-07-20,269.0,270.1,264.6,268.9,1500
2001-07-22,269.6,269.6,269.6,269.6,20
2001-07-23,269.6,269.6,268.2,268.4,1068
2001-07-24,268.4,269.5,268.1,269.3,1296
2001-07-25,269.3,269.3,266.9,267.3,1468
2001-07-26,267.3,268.0,265.5,266.2,1604
2001-07-27,266.1,267.3,265.2,267.2,1244
2001-07-29,267.4,267.5,267.4,267.5,24
2001-07-30,267.4,267.4,264.6,264.8,1288
2001-07-31,264.6,266.5,264.3,266.1,1520
2001-08-01,266.1,268.1,266.1,267.1,1580
2001-08-02,267.1,268.0,266.6,267.3,752
2001-08-03,267.3,268.5,266.4,268.0,1324
2001-08-05,268.0,268.2,268.0,268.2,52
2001-08-06,268.2,268.3,266.6,267.0,860
2001-08-07,267.1,267.3,266.0,267.0,1204
2001-08-08,267.0,268.1,265.9,268.0,1240
2001-08-09,268.0,273.6,267.6,273.3,1804
2001-08-10,273.0,276.4,272.0,273.7,1676
2001-08-12,273.8,273.8,273.3,273.8,40
2001-08-13,273.8,276.9,273.8,274.6,1260
2001-08-14,275.4,276.3,273.4,276.0,1236
2001-08-15,276.0,277.1,274.3,275.4,1072
2001-08-16,275.5,276.1,274.3,274.8,1124
2001-08-17,274.6,280.3,274.4,278.8,1172
2001-08-19,278.8,278.8,278.8,278.8,4
2001-08-20,278.8,279.0,275.5,275.6,1664
2001-08-21,275.6,277.0,273.6,276.0,1452
2001-08-22,276.0,277.5,274.0,274.4,1880
2001-08-23,274.4,275.4,273.9,274.9,1524
2001-08-24,274.8,275.3,271.6,272.3,1496
2001-08-26,272.5,272.5,272.4,272.4,20
2001-08-27,272.4,272.7,271.2,272.4,1540
2001-08-28,272.4,272.4,270.3,271.8,2036
2001-08-29,271.8,273.7,271.8,272.8,1856
2001-08-30,272.8,275.0,272.0,274.8,1856
2001-08-31,274.9,275.5,272.0,274.0,1324
2001-09-02,274.0,274.0,274.0,274.0,4
2001-09-03,273.8,273.9,272.9,273.0,396
2001-09-04,273.0,273.0,270.9,271.6,1560
2001-09-05,271.6,272.1,270.9,271.5,1448
2001-09-06,271.5,273.0,270.9,272.1,1804
2001-09-07,272.2,274.1,271.9,272.8,1676
2001-09-09,272.8,272.8,272.8,272.8,12
2001-09-10,272.6,273.0,270.5,271.1,1500
2001-09-11,271.1,289.8,270.9,288.7,908
2001-09-12,288.0,289.8,277.5,280.5,800
2001-09-13,280.5,281.5,277.9,280.9,696
